Car Name,Special Hook,Description,Sold For,Bid Count,Comment Count,Price Category,Auto Biography
1987 Golf II 1.8 CAT (19E),"A little kilometer, almost virgin interior, comprehensible history, professional restoration, deeper, rims in BBS look, extensive service, TÜV new","The Golf 2 has long since matured from the ubiquitous car for all classes to a timeless classic car.In contrast to the predecessor, his body is well corrosion -protected, the technology is rock solid.It was available as an entry -level model with three doors and 55 hp to the 110 hp and coveted GTI.The wide C-pillar is characteristic of the Golf to this day.Technically, the Wolfsburg -based company also convinced through the front engines with front engine.The Golf 2 presented here with built in 1987 has the 1.8 liter engine with the identifier GX, i.e. basically the same engine as the GTI and with unregulated catalyst.The VW classic here is primarily not about performance, but about a beautiful and harmonious overall picture.The car was restored by the current owner, a body builder, and almost completely repainted.In addition, there was a lowering and a subtle widening of the wheel arches, aluminum rims in the BBS look and a GTI sports exhaust, which had become necessary, complete the overall package.The professionally cleaned interior is in its original condition.
The Golf II 1.8 can be viewed in Büchlberg.",minimum price not reached,4 bids,8 comments,Classic everyday,"The Golf was approved on September 2, 1987 in Albstadt/Zollernalbkreis by the first owner with born in 1922.The car was sold to a 50-year-old driver in October.The car retained the car, although the resident of the second owner Haigerloch was specified.On March 29, 2000, the Golf II was rewritten to the 3rd owner.It should be the wife of the previous owner, as the data in the old letter show.Balingen-Frommern is given as the residence.The car was sold again: On August 15, 2019, the car was rewritten to a driver in Walldorf.Since 01.09.2022, the Golf has been registered for the current owner after an extensive restoration.After the rejuvenation cure, the interior shines like new.Visually, the previous ""senior car"" was upgraded by widening, chic wheels and much more."
1958 Mercedes-Benz 220 S Coupé (W 180 II),"First delivery to the USA, limited coupé version (1 of 1,215 copies), unpired, special equipment ""Hydrak"" coupling, noble combination exterior & interior, authentic original state, has been kept in classic car collection since 2013, H report","In the 1950s and after deputious times, new spirit of optimism was created, shaped by the economic miracle, growing consumption and hopeful future visions.The car also became more and more a status symbol and more and more comfortable, safer and more individual.Exciting times, rock 'n roll is announced, Elvis Presley was stationed in 1958 as a soldier in Germany and is already an emerging world star.In fact, the confessing car lover also had a model of the Mercedes 220 at this time. The 220 s presented here is the sporty coupé variant and was only made 1,251 times from 1956 to 1959;It is one of the rarer vehicles of the ""Ponton"" era of the 50s. He still authentically reflects the lifestyle of his legendary creation and literally can be emptied, as Elvis made his rounds in a ""pontoon"" at the time.In contrast to the vehicle presented here, its model has unfortunately not made it into our time and originals, as well as well -preserved 220s, especially the coupes, are more rarity these days.The vehicle still has an assessment of classification as a classic car and if desired, a German approval with new TÜV would be possible.
The 220 S Coupé can be visited in 89165 Dietenheim.",minimum price not reached,11 Commandments,0 comments,Classic everyday,"The 220 S Coupé presented here was delivered to the USA on January 1st, 1958, in 2012 there was approval in England, and then from 2013 the import to Germany by the current owner, who has been kept in its collection since then and occasionally in use for excursionstakes."
1985 Tiger Racing Super Six (Lotus Super Seven),"British initial delivery, roadster, replica of the strictly limited Lotus super Seven, only 19,000 miles, driving fun guarantee, H-license plate, current TÜV","This Super Six is a qualitative replica, a so -called Kit Car, the Lotus Super Seven, which was heavily limited at the time.As a family business, the Tiger Racing Limited brand has been producing high -quality replicas of various luxury automobiles since 1989, such as Lotus, Jaguar or Ferrari.Good racing properties and processing quality are characterized by the Super Six, with its extravagant outer and striking outside paint, it is also a real eye-catcher in road traffic and every classic car collection, since it already has the Henknaschen.A current TÜV rounds off the offer.
The Tiger Super Six can be viewed in 73635 Rudersberg.","Sold for € 14,000",14 commandments,0 comments,Classic everyday,"This Tiger Super Six with the registration date of August 12, 1985 was first registered in England.This date is based on a KIT car registration that is common in the UK, according to which the first date of first registration takes place after the year of construction of the technical components.The Super Six remained in England until 2021, from where it was then imported to Germany via a Tiger Racing dealer with a branch in records.The current owner acquired the vehicle in May 2022. The wintering took place in a hall and the Super Six currently has a seasonal mark from 04 to 10. Further information can be found in the gallery."
1970 Mercedes-Benz 280 SE (in 108),"Good condition, new painting, motor revision, extensive repair, current TÜV","The SE 280 belongs to the W 108 series and was an update of the predecessor rear-sized limousines W 111 and W 112. The new body seemed more factual, which the eliminated rear fins had.The 2,8-liter six-cylinder engine, which was newly developed at the time, does 160 hp with suction tube injection of Bosch.This Mercedes top class model is one of the icons in automotive history and convinces with timeless elegance and reliable technology.
The 280 SE can be visited in Rauenberg near Wiesloch.",minimum price not reached,4 bids,0 comments,Classic everyday,"The 280 SE was first registered for road traffic on March 10, 1970.It was bought by the current owner in March 2021."
1968 Volkswagen Beach Buggy,"Custom -made, long -term ownership, air -cooled boxer engine, Weber double carburetor","This rare beach buggy not only guarantees the ultimate driving pleasure, but is also completely rust -free.In the early 1960s, those special models based on the chassis of a VW Beetle were created.A body was mostly made of fiber -fiber reinforced plastic.The beetle was particularly suitable at the time because it was one of the most off -road vehicles without all -wheel drive and thus every sand dune with the resulting beach buggy became accessible.
The beach buggy can be visited in Bonn.","Sold for € 10,100",1 commandment,0 comments,Classic everyday,"The beach buggy was first approved for road traffic in 1968.Unfortunately, nothing can be found through the owners: nothing inside until 1990.From 1990 to 2021 he was owned by Staffan Borglund, moderator of the Swedish TV program ""Trafikmagasinet""."
1986 Mercedes-Benz 560 SL Cabrio (R 107),"US-Reimport, rare color combination, a few kilometers, extensive service, hardtop, TÜV new, H report","The SL series 107 came onto the market in 1971 as the successor to the famous ""Pagoda"" and presented itself larger, luxurious and much more modern with the suggested wedge shape and large lights.The luxury roadster was at the time at Mercedes-Benz.The 1972 S-Class, published in 1972, took over many design elements of the open and timelessly beautiful two-seater.This was a real permanent runner, which shows his construction period of 18 years.It is no wonder that the car was so popular: the two-seater Roadster embodies the proverbial Mercedes quality with the countless chrome elements and solid metal parts.Cheap plastic parts can hardly be found in the interior.The car presented here can only be identified as a US version at second glance if you refrain from the warm and more powerful colors on the outside and inside.The unsightly American bumpers gave way to European specimens.Broadband headlights are also not part of the American version.In contrast, the large V8 engine with a displacement of 5.6 liters, the third brake light on the trunk lid and the exhaust gas cleaning using catalysts.In this US version, 49,347 copies were made.The car offered was only subjected to a large service with many new parts in October.
The 560 SL can be viewed in Ransbach-Baumbach.",minimum price not reached,5 Commandments,4 comments,Classic everyday,"The 560 SL Cabrio was registered for road traffic in the USA on July 1, 1986.On May 10, 2011, Michigan was re -registration on the new owner of the car.On June 15, 2018, the latter imported the roadster to Germany via the main customs office in Bremen.This was followed by a conversion of the US version with European components such as bumpers and headlights.The current owner acquired the car about 2 years ago.In October 2022, the 560 SL received a large service.In the course of these measures, the tires were also renewed, the rims were refurbished and the vehicle was prepared.At this point, the H report was also created.It is not documented whether there were further changes in the holder within the United States.It is also not known when the paint was renewed."
1939 Packard Touring 1700,"US import, 17th Series, American classic of the 30s, 6-cylinder row engine (SIX), full restoration, motor revision","The American car manufacturer Packard was founded in Ohio in 1899.The company, based in Detroit from 1904, was a manufacturer of a large, luxurious, high -quality but conservative car, which enjoyed great popularity among wealthy customers, heads of state, but probably also gangster bosses.The business magnate William D. Rockefeller was one of the first customers.The Packard Six describes a series of six-cylinder automobiles that the Packard Motor Car Company in Detroit made in the model years 1925 to 1928.The model lived up again in 1937 and was continued to be built until 1939.The last generation of cars built by Packard itself appeared in 1955 with modern V8 engines.
The packard can be visited in Bad Nenndorf.","sold for € 18,400",4 bids,0 comments,Classic everyday,"The Packard was first registered for American road traffic in May 1939.There is a documentation of the ownership history by the third -party owner and receipts in a bound notebook.It is known that in the USA there was a restoration to original condition in the 1980s, in 2016 a motor revision that was documented with pictures.In 2020, the vehicle was imported to Germany by the current owner, a private individual."
1967 Mercedes-Benz 250 SL (W 113),"European initial delivery, roadster including the original hardtop, only approx. 5,200 units, condition report with classification 1, extensively restored, current TÜV & H report","An absolute feast for the eyes is this Mercedes 250 SL from 1967 - it comes from the W113 series and is also particularly known under the name ""Pagoda"", a very important era for Mercedes -Benz. The model was produced from 12/1966 to 01/1968And is still one of the most popular vehicles among Mercedes lovers.Competition also made its rarity, because in contrast to other Mercedes classics, just about 5200 copies.be.
The Mercedes-Benz 250 SL can be viewed in Frankfurt a.M.",minimum price not reached,8 commandments,0 comments,Luxury vehicle,"This Mercedes-Benz 250 SL was manufactured for the European market and registered for road traffic for the first time on July 1st, 1967.He was in the USA for a long time, unfortunately no longer all stations can be derived from the documents, but there are still American documents about registration in California.The current owner acquired the vehicle in February 2022, and the restoration work described was also carried out in this property."
1987 VW Golf 2 GTI 16V,"From second hand, understandable history, prudent and very expert restoration, original engine, performance test, HU new","There is hardly any more cult: The 2nd series of the VW Golf is often considered the best Golf in the Kenklichkreis.Robust technology, high material qualities and very good workmanship have always been attributed to the Golf 2.The classless car covers a large group of customers, because the Golf 2 series has everything to offer from simple bread and butter car to the purebred athlete.The GTI 16V, manufactured between 1986 and 1991, is certainly one of the latter with its 139 hp.The 16V was easily recognizable by the emblems kept in red and the double headlight grill.The car offered here embodies the primeval idea ""GTI"" in an almost perfect way: the three-door is lighter and more stable than its 4-door counterpart, in addition the beautiful original steel rims and the color silver.Despite its mileage of 232 991 km, the straightforward golf convinces with its very good condition and the restoration, including painting since 2018, and the restoration.While many GTI were unfortunately tinkered by their owners, this vehicle is the perfect counter -draft.The original condition was preserved with z.B. contemporary orange indicators and the already mentioned steel rims.The owner showed great attention to detail, such as the new emblem on the tailgate.
The Golf 2 GTI 16V can be visited in Essen.",minimum price not reached,10 commandments,2 comments,Entry -level,"The first registration for road traffic was made by the first owner (born 1939) on October 8, 1987 in Gießen.In November 2000 there was a change of location with a re -registration to Wetzlar.The first owner prompted the vehicle to be closed on March 21.As early as May 2016, the current owner bought the Golf GTI.Although the first owner treated the car carefully and always prompted the necessary repairs, the careful restoration of the car started from May 2016.Numerous wear parts and rubber seals were renewed.At the end of 2018, the car received a very knowledgeable new paint through a specialist workshop.In the course of this work, the Golf also received new tires, bilstein shock absorbers, petrol pump, pressure memory, toothed belt, water pump, etc. Since then, the Golf GTI has also been equipped with an aluminum-coated exhaust system from Imasaf."
1960 Lancia Appia Luxury Vignale (812.02),"Italian initial delivery, special model ""Lusso Vignale"", only 78,000 km, great condition, H-license plate, ASI certificate, current TÜV","A fine classic from the Italian automotive industry of the 50s/60s, the Lancia Appia Lusso was drawn by Michelotti and built by vignals.LUSSO ""means luxury and according to this motto this model was also made in Turin. In the meantime a rarity, because the version presented here is rarely seen on the streets in such good condition. With a lively V4 engine, oneGood processing quality and the wonderful design is an exciting classic car with a driving fun guarantee and authentic, Italian charm, as well as current TÜV and H license.
The Lancia Appia Lusso Vignale can be visited in Albbruck.",minimum price not reached,11 Commandments,5 comments,Entry -level,"This LUSSO was approved in Italy on July 27, 1960 and the LUSO had five previous owners in Italy according to the Italian papers.It was then imported to Germany in 2014.The current owner acquired the vehicle from a German middleman in February 2020 and then approved it in May 2020 and since then in his possession.You can find more information in the gallery."
